Feature,Mean_Absolute_SHAP
type_name_5370,0.0
case_type_str_complnt.case,0.0
type_name_6117,0.0
type_name_6118,0.0
type_name_6160,0.0
type_name_624,0.0
type_name_6254,0.0
type_name_6257,0.0
type_name_6260,0.0
type_name_6273,0.0
type_name_6317,0.0
type_name_6323,0.0
type_name_6338,0.0
type_name_636,0.0
type_name_6437,0.0
type_name_646,0.0
type_name_6585,0.0
type_name_6020,0.0
type_name_6001,0.0
type_name_5988,0.0
type_name_5615,0.0
type_name_5378,0.0
type_name_5380,0.0
type_name_5425,0.0
type_name_5448,0.0
type_name_5531,0.0
type_name_5583,0.0
type_name_567,0.0
type_name_5985,0.0
type_name_5737,0.0
type_name_577,0.0
type_name_5800,0.0
type_name_5858,0.0
type_name_5933,0.0
type_name_5936,0.0
type_name_6653,0.0
type_name_6655,0.0
type_name_6676,0.0
case_type_str_civil regular appeal,0.0
case_type_str_cases under section 125 cr p c,0.0
case_type_str_cc,0.0
case_type_str_cha,0.0
case_type_str_challan (warrant trial),0.0
case_type_str_civil misc appliacti,0.0
case_type_str_civil misc. reg. 74,0.0
case_type_str_civil reivision,0.0
case_type_str_c.appln.,0.0
case_type_str_civil suit,0.0
case_type_str_cm-41,0.0
case_type_str_cma,0.0
case_type_str_cns,0.0
case_type_str_complain,0.0
case_type_str_complaint ulp1,0.0
case_type_str_c.c.,0.0
case_type_str_bail 439,0.0
type_name_6704,0.0
type_name_711,0.0
type_name_6705,0.0
type_name_6717,0.0
type_name_683,0.0
type_name_6940,0.0
type_name_6982,0.0
type_name_7059,0.0
type_name_758,0.0
case_type_str_ba,0.0
type_name_927,0.0
type_name_929,0.0
case_type_str_arbitration case,0.0
case_type_str_as,0.0
case_type_str_atro.spl.case,0.0
case_type_str_b a,0.0
judge_gender_UNKNOWN,0.0
